Team,Gms,Num,Yds,Avg,Lg,TD,Yds/G
Arizona Cardinals,16,22,417,18.95,43,0,26.1
Atlanta Falcons,16,50,1174,23.48,66,0,73.4
Baltimore Ravens,16,38,1077,28.34,108t,1,67.3
Buffalo Bills,16,33,770,23.33,102t,1,48.1
Carolina Panthers,16,37,805,21.76,49,0,50.3
Chicago Bears,16,55,1290,23.45,101t,1,80.6
Cincinnati Bengals,16,45,1241,27.58,97,0,77.6
Cleveland Browns,16,37,801,21.65,39,0,50.1
Dallas Cowboys,16,33,790,23.94,42,0,49.4
Denver Broncos,16,32,802,25.06,77,0,50.1
Detroit Lions,16,25,612,24.48,41,0,38.2
Green Bay Packers,16,29,555,19.14,41,0,34.7
Houston Texans,16,20,422,21.1,41,0,26.4
Indianapolis Colts,16,38,1065,28.03,76,0,66.6
Jacksonville Jaguars,16,43,1033,24.02,40,0,64.6
Kansas City Chiefs,16,51,1430,28.04,99t,1,89.4
Miami Dolphins,16,41,1082,26.39,74,0,67.6
Minnesota Vikings,16,54,1173,21.72,51,0,73.3
New England Patriots,16,31,693,22.35,81,0,43.3
New Orleans Saints,16,21,543,25.86,99,0,33.9
New York Giants,16,44,1025,23.3,45,0,64.1
New York Jets,16,58,1342,23.14,87,0,83.9
Oakland Raiders,16,47,1027,21.85,42,0,64.2
Philadelphia Eagles,16,32,874,27.31,107t,2,54.6
Pittsburgh Steelers,16,35,758,21.66,41,0,47.4
San Diego Chargers,16,26,577,22.19,35,0,36.1
San Francisco 49ers,16,45,1104,24.53,57,0,69
Seattle Seahawks,16,39,820,21.03,47,0,51.2
St. Louis Rams,16,45,1099,24.42,75,0,68.7
Tampa Bay Buccaneers,16,36,819,22.75,45,0,51.2
Tennessee Titans,16,48,1121,23.35,52,0,70.1
Washington Redskins,16,36,783,21.75,45,0,48.9
