Team,Gms,Att,Yds,Avg,TD,FD,Yds/G
Arizona Cardinals,16,397,1308,3.29,6,67,81.8
Atlanta Falcons,16,372,1498,4.03,11,75,93.6
Baltimore Ravens,16,448,2019,4.51,16,113,126.2
Buffalo Bills,16,402,1482,3.69,7,65,92.6
Carolina Panthers,16,473,2036,4.3,10,117,127.2
Chicago Bears,16,355,1441,4.06,8,91,90.1
Cincinnati Bengals,16,492,2147,4.36,19,122,134.2
Cleveland Browns,16,477,1728,3.62,17,88,108
Dallas Cowboys,16,508,2354,4.63,16,106,147.1
Denver Broncos,16,443,1785,4.03,15,98,111.6
Detroit Lions,16,396,1422,3.59,11,72,88.9
Green Bay Packers,16,435,1917,4.41,14,104,119.8
Houston Texans,16,551,2161,3.92,12,108,135.1
Indianapolis Colts,16,415,1612,3.88,9,80,100.8
Jacksonville Jaguars,16,360,1633,4.54,9,86,102.1
Kansas City Chiefs,16,420,1918,4.57,18,92,119.9
Miami Dolphins,16,399,1872,4.69,12,99,117
Minnesota Vikings,16,413,1804,4.37,12,90,112.8
New England Patriots,16,438,1727,3.94,13,96,107.9
New Orleans Saints,16,406,1818,4.48,16,101,113.6
New York Giants,16,449,1603,3.57,13,83,100.2
New York Jets,16,507,2280,4.5,11,112,142.5
Oakland Raiders,16,337,1240,3.68,4,56,77.5
Philadelphia Eagles,16,474,1992,4.2,16,109,124.5
Pittsburgh Steelers,16,423,1752,4.14,10,98,109.5
San Diego Chargers,16,398,1367,3.43,6,75,85.4
San Francisco 49ers,16,470,2176,4.63,10,104,136
Seattle Seahawks,16,525,2762,5.26,20,144,172.6
St. Louis Rams,16,395,1635,4.14,11,79,102.2
Tampa Bay Buccaneers,16,353,1375,3.9,7,72,85.9
Tennessee Titans,16,356,1447,4.06,6,75,90.4
Washington Redskins,16,401,1691,4.22,15,88,105.7
