Team,Gms,Punts,Yds,Avg,Lg,TB,In20,Blk,Net
Arizona Cardinals,16,60,2575,42.92,58,6,22,1,35.41
Atlanta Falcons,16,58,2735,47.16,69,4,24,1,40.39
Baltimore Ravens,16,74,3454,46.68,67,5,29,0,42.95
Buffalo Bills,16,82,3797,46.3,65,3,22,0,41.27
Carolina Panthers,16,70,3175,45.36,65,5,20,0,39.81
Chicago Bears,16,73,3233,44.29,72,4,29,1,39.55
Cincinnati Bengals,16,68,3116,45.82,67,6,22,1,40.48
Cleveland Browns,16,70,3270,46.71,67,4,25,0,40.13
Dallas Cowboys,16,69,3117,45.17,61,1,27,0,42.54
Denver Broncos,16,85,3704,43.58,62,5,22,0,39.49
Detroit Lions,16,80,3679,45.99,66,3,25,0,41.95
Green Bay Packers,16,81,3554,43.88,62,6,18,0,40.25
Houston Texans,16,96,4533,47.22,64,11,24,0,38.55
Indianapolis Colts,16,85,4052,47.67,63,6,28,0,41.72
Jacksonville Jaguars,16,80,3700,46.25,63,4,26,0,39.48
Kansas City Chiefs,16,75,3333,44.44,62,5,37,0,40.84
Miami Dolphins,16,92,4380,47.61,70,10,30,0,39.72
Minnesota Vikings,16,66,2746,41.61,61,5,23,0,37.79
New England Patriots,16,73,3358,46,67,3,31,1,39.88
New Orleans Saints,16,67,3006,44.87,58,6,25,0,39.87
New York Giants,16,76,3380,44.47,64,6,33,0,38.95
New York Jets,16,79,3448,43.65,68,4,27,1,36.23
Oakland Raiders,16,83,3697,44.54,70,4,40,1,40.67
Philadelphia Eagles,16,86,4038,46.95,64,8,29,2,41.62
Pittsburgh Steelers,16,59,2511,42.56,79,2,28,0,39.08
San Diego Chargers,16,72,3261,45.29,68,2,15,1,38.21
San Francisco 49ers,16,92,4017,43.66,62,5,31,0,39.5
Seattle Seahawks,16,68,3105,45.66,73,7,24,0,37.93
St. Louis Rams,16,96,4601,47.93,68,6,41,0,43.67
Tampa Bay Buccaneers,16,56,2348,41.93,60,4,15,0,38
Tennessee Titans,16,88,4175,47.44,61,1,34,0,40.34
Washington Redskins,16,70,3224,46.06,64,7,21,1,39.8
