Team,Gms,Rush,Pass,Pen,Tot,Att,Made,Pct,Att,Made,Pct
Arizona Cardinals,16,97,229,42,368,214,87,40.7,10,5,50
Atlanta Falcons,16,108,239,32,379,178,75,42.1,14,8,57.1
Baltimore Ravens,16,79,205,32,316,233,86,36.9,19,8,42.1
Buffalo Bills,16,146,155,27,328,210,86,41,15,8,53.3
Carolina Panthers,16,99,194,25,318,223,83,37.2,17,11,64.7
Chicago Bears,16,93,212,19,324,185,70,37.8,14,4,28.6
Cincinnati Bengals,16,100,204,37,341,210,82,39,9,7,77.8
Cleveland Browns,16,83,181,32,296,212,77,36.3,18,13,72.2
Dallas Cowboys,16,142,191,25,358,189,80,42.3,9,8,88.9
Denver Broncos,16,76,181,33,290,219,75,34.2,17,9,52.9
Detroit Lions,16,76,217,36,329,195,83,42.6,10,7,70
Green Bay Packers,16,91,222,36,349,210,98,46.7,17,7,41.2
Houston Texans,16,102,173,30,305,233,87,37.3,23,9,39.1
Indianapolis Colts,16,93,220,38,351,202,87,43.1,18,8,44.4
Jacksonville Jaguars,16,75,207,39,321,221,78,35.3,16,7,43.8
Kansas City Chiefs,16,86,197,22,305,213,81,38,14,10,71.4
Los Angeles Rams,16,68,151,26,245,213,67,31.5,20,8,40
Miami Dolphins,16,90,167,21,278,188,69,36.7,4,0,0
Minnesota Vikings,16,66,209,28,303,213,81,38,18,8,44.4
New England Patriots,16,109,203,39,351,227,104,45.8,12,8,66.7
New Orleans Saints,16,105,265,25,395,220,107,48.6,15,13,86.7
New York Giants,16,73,190,26,289,219,78,35.6,19,9,47.4
New York Jets,16,97,166,28,291,210,76,36.2,19,8,42.1
Oakland Raiders,16,98,198,38,334,218,83,38.1,13,6,46.2
Philadelphia Eagles,16,114,192,27,333,224,85,37.9,27,13,48.1
Pittsburgh Steelers,16,97,210,29,336,202,83,41.1,16,9,56.2
San Diego Chargers,16,90,214,36,340,200,85,42.5,12,6,50
San Francisco 49ers,16,116,152,19,287,222,78,35.1,19,10,52.6
Seattle Seahawks,16,85,203,25,313,207,79,38.2,11,4,36.4
Tampa Bay Buccaneers,16,80,220,40,340,214,94,43.9,9,4,44.4
Tennessee Titans,16,115,175,32,322,217,100,46.1,11,4,36.4
Washington Redskins,16,89,226,30,345,199,90,45.2,14,7,50
