Team,Tot,R,P,KR,PR,IR,FR,BK,BP,FGR,PAT,FG,Conv,Saf,Pts
Arizona Cardinals,51,20,28,0,0,2,1,0,0,0,43/47,21/28,1,2,418
Atlanta Falcons,63,20,38,0,0,3,2,0,0,0,56/57,34/37,2,0,540
Baltimore Ravens,32,10,20,0,0,0,1,0,1,0,27/27,38/39,4,0,343
Buffalo Bills,49,29,17,0,0,1,2,0,0,0,40/45,19/25,4,0,399
Carolina Panthers,40,16,21,0,0,1,2,0,0,0,31/34,30/38,3,1,369
Chicago Bears,32,10,19,0,1,1,1,0,0,0,31/32,18/23,0,1,279
Cincinnati Bengals,35,17,18,0,0,0,0,0,0,0,29/35,28/35,0,1,325
Cleveland Browns,29,13,15,0,0,1,0,0,0,0,23/25,21/27,2,0,264
Dallas Cowboys,49,24,25,0,0,0,0,0,0,0,46/46,27/32,0,0,421
Denver Broncos,35,11,20,0,0,3,1,0,0,0,32/33,29/34,1,0,333
Detroit Lions,36,9,24,0,2,1,0,0,0,0,31/33,31/36,1,2,346
Green Bay Packers,51,11,40,0,0,0,0,0,0,0,44/47,26/30,2,0,432
Houston Texans,25,8,15,0,1,1,0,0,0,0,22/25,35/41,0,1,279
Indianapolis Colts,47,13,32,1,0,0,1,0,0,0,44/44,27/31,2,0,411
Jacksonville Jaguars,34,8,24,1,0,1,0,0,0,0,29/32,27/34,2,0,318
Kansas City Chiefs,42,15,19,1,2,4,1,0,0,0,36/39,31/35,2,1,389
Los Angeles Rams,24,9,14,0,0,0,1,0,0,0,23/23,19/22,0,0,224
Miami Dolphins,45,14,27,1,1,1,0,0,1,0,41/42,16/21,1,0,363
Minnesota Vikings,36,9,20,1,2,2,2,0,0,0,26/33,27/31,1,1,327
New England Patriots,51,19,32,0,0,0,0,0,0,0,46/49,27/32,1,3,441
New Orleans Saints,55,17,38,0,0,0,0,0,0,0,49/50,28/34,2,1,469
New York Giants,36,6,26,0,0,1,2,1,0,0,31/35,21/22,0,0,310
New York Jets,28,10,16,0,0,0,1,0,0,0,24/26,27/31,1,0,275
Oakland Raiders,47,17,29,0,0,1,0,0,0,0,37/39,29/35,5,0,416
Philadelphia Eagles,37,16,16,2,0,3,0,0,0,0,30/31,35/41,4,1,367
Pittsburgh Steelers,47,13,33,0,0,0,1,0,0,0,37/37,24/28,3,1,399
San Diego Chargers,48,10,33,0,0,3,2,0,0,0,42/46,26/32,0,1,410
San Francisco 49ers,36,15,21,0,0,0,0,0,0,0,33/34,18/21,2,1,309
Seattle Seahawks,37,13,23,0,0,0,1,0,0,0,29/35,33/37,1,1,354
Tampa Bay Buccaneers,41,8,29,0,0,4,0,0,0,0,32/34,22/31,4,1,354
Tennessee Titans,46,16,29,0,0,0,1,0,0,0,39/41,22/24,0,0,381
Washington Redskins,43,17,25,0,1,0,0,0,0,0,36/39,34/42,0,0,396
