Team,Tot,R,P,KR,PR,IR,FR,BK,BP,FGR,PAT,FG,Conv,Saf,Pts,Playoffs
Arizona Cardinals,29,6,21,0,0,1,1,0,0,0,23/26,32/40,1,0,295,0
Atlanta Falcons,36,12,21,0,0,0,3,0,0,0,35/35,34/39,0,0,353,1
Baltimore Ravens,42,14,20,1,1,3,3,0,0,0,39/39,34/37,1,0,395,0
Buffalo Bills,31,12,16,0,0,1,2,0,0,0,29/29,29/33,0,0,302,1
Carolina Panthers,40,15,22,1,1,0,1,0,0,0,34/37,29/30,1,0,363,1
Chicago Bears,31,13,13,0,2,2,1,0,0,0,26/28,16/22,1,1,264,0
Cincinnati Bengals,34,6,25,0,0,3,0,0,0,0,32/34,18/20,0,0,290,0
Cleveland Browns,27,11,15,0,0,1,0,0,0,0,25/26,15/20,1,0,234,0
Dallas Cowboys,42,18,22,0,1,1,0,0,0,0,36/39,22/29,0,0,354,0
Denver Broncos,31,8,19,0,0,2,2,0,0,0,27/27,24/32,2,0,289,0
Detroit Lions,46,10,29,0,2,3,2,0,0,0,40/41,30/35,2,0,410,0
Green Bay Packers,40,13,25,0,0,1,1,0,0,0,33/35,15/19,1,0,320,0
Houston Texans,40,8,28,0,0,2,2,0,0,0,32/35,20/25,2,1,338,0
Indianapolis Colts,25,11,13,0,0,1,0,0,0,0,22/24,29/34,0,2,263,0
Jacksonville Jaguars,47,18,21,0,1,2,5,0,0,0,37/41,30/35,3,0,417,1
Kansas City Chiefs,42,12,26,0,1,0,3,0,0,0,40/40,41/45,0,0,415,1
Los Angeles Chargers,43,10,28,0,1,2,2,0,0,0,37/42,20/30,0,0,355,0
Los Angeles Rams,51,17,28,1,0,3,0,0,2,0,48/51,40/43,0,2,478,1
Miami Dolphins,31,4,24,0,0,1,2,0,0,0,26/29,21/23,1,2,281,0
Minnesota Vikings,41,15,25,0,0,1,0,0,0,0,34/39,32/38,2,1,382,1
New England Patriots,49,16,32,1,0,0,0,0,0,0,45/47,37/40,2,2,458,1
New Orleans Saints,51,23,23,1,0,2,1,0,1,0,47/50,31/36,1,0,448,1
New York Giants,28,6,20,0,0,2,0,0,0,0,20/23,18/25,1,1,246,0
New York Jets,32,13,19,0,0,0,0,0,0,0,29/29,25/30,1,0,298,0
Oakland Raiders,36,13,23,0,0,0,0,0,0,0,33/34,16/21,2,0,301,0
Philadelphia Eagles,53,9,38,0,0,1,5,0,0,0,40/44,29/34,6,0,457,1
Pittsburgh Steelers,43,12,29,1,0,0,0,0,1,0,37/39,35/38,2,1,406,1
San Francisco 49ers,31,15,15,0,0,1,0,0,0,0,28/30,39/41,0,0,331,0
Seattle Seahawks,43,4,34,1,0,3,1,0,0,0,37/38,21/29,2,2,366,0
Tampa Bay Buccaneers,38,8,26,0,0,1,3,0,0,0,28/31,25/34,2,0,335,0
Tennessee Titans,33,18,14,0,0,0,1,0,0,0,31/33,35/42,0,0,334,1
Washington Redskins,39,10,27,0,0,2,0,0,0,0,36/39,24/28,0,0,342,0
