Team,Gms,Pass Attempts,Pass Completions,Pass Completion Percentage,Gross Passing Yards,Yards Per Attempt,TD,Int,Sack,Loss,Rate,NetYds,Net Passing Yards Per Game
Arizona Cardinals,16,554,355,64.1,3797,6.85,20,12,50,320,87,3477,217.3
Atlanta Falcons,16,684,459,67.1,5049,7.38,29,15,50,335,93.8,4714,294.6
Baltimore Ravens,16,440,289,65.7,3350,7.61,37,8,28,125,109,3225,201.6
Buffalo Bills,16,513,299,58.3,3476,6.78,21,12,40,247,82.8,3229,201.8
Carolina Panthers,16,633,382,60.3,4134,6.53,17,21,58,484,74.7,3650,228.1
Chicago Bears,16,580,371,64,3573,6.16,20,12,45,282,83.9,3291,205.7
Cincinnati Bengals,16,616,356,57.8,3994,6.48,18,16,48,342,76.2,3652,228.2
Cleveland Browns,16,539,318,59,3847,7.14,22,21,41,293,78.4,3554,222.1
Dallas Cowboys,16,597,388,65,4902,8.21,30,11,23,151,99.5,4751,296.9
Denver Broncos,16,504,312,61.9,3401,6.75,16,10,41,286,84.1,3115,194.7
Detroit Lions,16,571,344,60.2,4187,7.33,28,15,43,287,88.2,3900,243.8
Green Bay Packers,16,573,356,62.1,4017,7.01,26,4,36,284,95.3,3733,233.3
Houston Texans,16,534,355,66.5,4083,7.65,27,14,49,300,95.3,3783,236.4
Indianapolis Colts,16,513,307,59.8,3314,6.46,22,10,32,206,85,3108,194.2
Jacksonville Jaguars,16,589,364,61.8,4023,6.83,24,8,42,263,90,3760,235
Kansas City Chiefs,16,576,378,65.6,4690,8.14,30,5,25,192,104.4,4498,281.1
Los Angeles Chargers,16,597,394,66,4648,7.79,24,20,34,222,89,4426,276.6
Los Angeles Rams,16,632,397,62.8,4669,7.39,22,17,22,170,85.6,4499,281.2
Miami Dolphins,16,615,371,60.3,4117,6.69,22,18,58,313,80,3804,237.8
Minnesota Vikings,16,466,319,68.5,3729,8,26,8,28,206,103.9,3523,220.2
New England Patriots,16,620,378,61,4153,6.7,25,9,28,192,88.2,3961,247.6
New Orleans Saints,16,581,418,71.9,4431,7.63,36,6,25,187,110.2,4244,265.2
New York Giants,16,607,376,61.9,4070,6.71,30,17,43,339,86.4,3731,233.2
New York Jets,16,521,323,62,3443,6.61,19,16,52,332,80.6,3111,194.4
Oakland Raiders,16,523,367,70.2,4110,7.86,22,8,29,184,101,3926,245.4
Philadelphia Eagles,16,613,391,63.8,4063,6.63,27,8,37,230,92.1,3833,239.6
Pittsburgh Steelers,16,510,315,61.8,3214,6.3,18,19,32,233,76.1,2981,186.3
San Francisco 49ers,16,478,331,69.2,4029,8.43,28,13,36,237,103.1,3792,237
Seattle Seahawks,16,517,341,66,4110,7.95,31,6,48,319,105.3,3791,236.9
Tampa Bay Buccaneers,16,630,382,60.6,5127,8.14,33,30,47,282,84.1,4845,302.8
Tennessee Titans,16,448,297,66.3,3956,8.83,29,8,56,374,108.3,3582,223.9
Washington Redskins,16,479,298,62.2,3205,6.69,18,13,50,393,83,2812,175.8
