Team,Gms,Rush,Pass,Pen,Tot,Att,Made,Pct,Att,Made,Pct,Year
Arizona Cardinals,16,67,191,44,302,224,90,40.2,4,3,75,2014
Atlanta Falcons,16,75,233,22,330,210,93,44.3,16,8,50,2014
Baltimore Ravens,16,113,194,38,345,205,84,41,18,9,50,2014
Buffalo Bills,16,65,186,22,273,229,84,36.7,14,6,42.9,2014
Carolina Panthers,16,117,199,31,347,222,93,41.9,10,6,60,2014
Chicago Bears,16,91,194,37,322,207,78,37.7,28,13,46.4,2014
Cincinnati Bengals,16,122,164,27,313,211,84,39.8,13,7,53.8,2014
Cleveland Browns,16,88,179,27,294,207,61,29.5,14,5,35.7,2014
Dallas Cowboys,16,106,205,31,342,201,95,47.3,6,3,50,2014
Denver Broncos,16,98,227,35,360,213,94,44.1,13,6,46.2,2014
Detroit Lions,16,72,210,28,310,223,86,38.6,20,10,50,2014
Green Bay Packers,16,104,222,30,356,197,93,47.2,10,4,40,2014
Houston Texans,16,108,171,34,313,235,91,38.7,17,10,58.8,2014
Indianapolis Colts,16,80,251,40,371,217,89,41,15,6,40,2014
Jacksonville Jaguars,16,86,154,31,271,216,69,31.9,19,7,36.8,2014
Kansas City Chiefs,16,92,184,33,309,201,80,39.8,12,5,41.7,2014
Miami Dolphins,16,99,226,36,361,200,80,40,19,7,36.8,2014
Minnesota Vikings,16,90,171,27,288,211,82,38.9,12,6,50,2014
New England Patriots,16,96,228,37,361,221,98,44.3,13,7,53.8,2014
New Orleans Saints,16,101,258,36,395,203,98,48.3,15,8,53.3,2014
New York Giants,16,83,218,35,336,235,101,43,16,5,31.2,2014
New York Jets,16,112,154,23,289,234,91,38.9,16,9,56.2,2014
Oakland Raiders,16,56,173,19,248,236,80,33.9,15,9,60,2014
Philadelphia Eagles,16,109,218,29,356,237,103,43.5,11,7,63.6,2014
Pittsburgh Steelers,16,98,243,38,379,208,93,44.7,10,5,50,2014
San Diego Chargers,16,75,214,37,326,215,97,45.1,11,5,45.5,2014
San Francisco 49ers,16,104,165,34,303,213,86,40.4,18,10,55.6,2014
Seattle Seahawks,16,144,160,24,328,212,90,42.5,11,3,27.3,2014
St. Louis Rams,16,79,189,20,288,192,68,35.4,10,4,40,2014
Tampa Bay Buccaneers,16,72,162,29,263,203,76,37.4,12,4,33.3,2014
Tennessee Titans,16,75,159,24,258,196,59,30.1,17,6,35.3,2014
Washington Redskins,16,88,186,44,318,197,62,31.5,16,4,25,2014
Arizona Cardinals,16,92,237,44,373,198,93,47,9,4,44.4,2015
Atlanta Falcons,16,95,230,34,359,227,107,47.1,19,10,52.6,2015
Baltimore Ravens,16,89,211,23,323,226,85,37.6,24,12,50,2015
Buffalo Bills,16,122,155,20,297,227,86,37.9,16,7,43.8,2015
Carolina Panthers,16,136,197,24,357,203,86,42.4,10,6,60,2015
Chicago Bears,16,108,177,27,312,219,93,42.5,10,6,60,2015
Cincinnati Bengals,16,99,191,34,324,201,81,40.3,12,7,58.3,2015
Cleveland Browns,16,81,192,34,307,227,95,41.9,24,10,41.7,2015
Dallas Cowboys,16,94,175,38,307,191,66,34.6,16,8,50,2015
Denver Broncos,16,85,201,28,314,224,79,35.3,14,7,50,2015
Detroit Lions,16,71,236,30,337,203,75,36.9,14,7,50,2015
Green Bay Packers,16,100,173,44,317,208,70,33.7,21,11,52.4,2015
Houston Texans,16,90,210,35,335,249,96,38.6,19,6,31.6,2015
Indianapolis Colts,16,77,195,39,311,235,94,40,13,7,53.8,2015
Jacksonville Jaguars,16,69,215,29,313,205,72,35.1,15,8,53.3,2015
Kansas City Chiefs,16,116,155,32,303,199,76,38.2,9,6,66.7,2015
Miami Dolphins,16,72,194,25,291,205,63,30.7,22,8,36.4,2015
Minnesota Vikings,16,113,153,31,297,199,76,38.2,11,5,45.5,2015
New England Patriots,16,87,229,31,347,215,88,40.9,15,9,60,2015
New Orleans Saints,16,98,247,36,381,218,104,47.7,16,10,62.5,2015
New York Giants,16,77,208,46,331,217,82,37.8,16,9,56.2,2015
New York Jets,16,99,210,20,329,229,93,40.6,14,6,42.9,2015
Oakland Raiders,16,74,193,33,300,220,86,39.1,13,5,38.5,2015
Philadelphia Eagles,16,110,193,36,339,230,91,39.6,16,8,50,2015
Pittsburgh Steelers,16,91,207,33,331,193,75,38.9,12,4,33.3,2015
San Diego Chargers,16,79,230,35,344,231,97,42,15,5,33.3,2015
San Francisco 49ers,16,83,154,24,261,213,65,30.5,19,9,47.4,2015
Seattle Seahawks,16,128,190,17,335,213,99,46.5,9,8,88.9,2015
St. Louis Rams,16,92,126,23,241,201,52,25.9,13,4,30.8,2015
Tampa Bay Buccaneers,16,99,201,36,336,202,84,41.6,13,7,53.8,2015
Tennessee Titans,16,66,195,37,298,201,64,31.8,15,7,46.7,2015
Washington Redskins,16,81,208,28,317,216,94,43.5,12,7,58.3,2015
Arizona Cardinals,16,97,229,42,368,214,87,40.7,10,5,50,2016
Atlanta Falcons,16,108,239,32,379,178,75,42.1,14,8,57.1,2016
Baltimore Ravens,16,79,205,32,316,233,86,36.9,19,8,42.1,2016
Buffalo Bills,16,146,155,27,328,210,86,41,15,8,53.3,2016
Carolina Panthers,16,99,194,25,318,223,83,37.2,17,11,64.7,2016
Chicago Bears,16,93,212,19,324,185,70,37.8,14,4,28.6,2016
Cincinnati Bengals,16,100,204,37,341,210,82,39,9,7,77.8,2016
Cleveland Browns,16,83,181,32,296,212,77,36.3,18,13,72.2,2016
Dallas Cowboys,16,142,191,25,358,189,80,42.3,9,8,88.9,2016
Denver Broncos,16,76,181,33,290,219,75,34.2,17,9,52.9,2016
Detroit Lions,16,76,217,36,329,195,83,42.6,10,7,70,2016
Green Bay Packers,16,91,222,36,349,210,98,46.7,17,7,41.2,2016
Houston Texans,16,102,173,30,305,233,87,37.3,23,9,39.1,2016
Indianapolis Colts,16,93,220,38,351,202,87,43.1,18,8,44.4,2016
Jacksonville Jaguars,16,75,207,39,321,221,78,35.3,16,7,43.8,2016
Kansas City Chiefs,16,86,197,22,305,213,81,38,14,10,71.4,2016
Los Angeles Rams,16,68,151,26,245,213,67,31.5,20,8,40,2016
Miami Dolphins,16,90,167,21,278,188,69,36.7,4,0,0,2016
Minnesota Vikings,16,66,209,28,303,213,81,38,18,8,44.4,2016
New England Patriots,16,109,203,39,351,227,104,45.8,12,8,66.7,2016
New Orleans Saints,16,105,265,25,395,220,107,48.6,15,13,86.7,2016
New York Giants,16,73,190,26,289,219,78,35.6,19,9,47.4,2016
