Team,Gms,Att,Cmp,Pct,Yds,YPA,TD,Int,Sack,Loss,Rate,NetYds,Yds/G,Year
Arizona Cardinals,16,568,320,56.3,3990,7.02,21,12,28,182,81.8,3808,238,2014
Atlanta Falcons,16,632,418,66.1,4758,7.53,28,15,31,205,93.4,4553,284.6,2014
Baltimore Ravens,16,554,344,62.1,3986,7.19,27,12,19,167,91,3819,238.7,2014
Buffalo Bills,16,579,363,62.7,3856,6.66,23,13,39,242,86,3614,225.9,2014
Carolina Panthers,16,545,327,60,3828,7.02,23,12,42,317,86.2,3511,219.4,2014
Chicago Bears,16,609,396,65,4035,6.63,30,19,41,243,87.3,3792,237,2014
Cincinnati Bengals,16,503,323,64.2,3551,7.06,20,17,23,130,84.2,3421,213.8,2014
Cleveland Browns,16,502,274,54.6,3678,7.33,12,16,31,213,72.8,3465,216.6,2014
Dallas Cowboys,16,476,328,68.9,4008,8.42,37,11,30,224,110.9,3784,236.5,2014
Denver Broncos,16,607,399,65.7,4779,7.87,40,15,17,118,101.3,4661,291.3,2014
Detroit Lions,16,604,365,60.4,4284,7.09,22,12,45,254,85.9,4030,251.9,2014
Green Bay Packers,16,536,349,65.1,4447,8.3,38,6,30,186,109.9,4261,266.3,2014
Houston Texans,16,485,295,60.8,3460,7.13,22,13,26,108,86.4,3352,209.5,2014
Indianapolis Colts,16,661,410,62,5062,7.66,42,16,29,168,96.8,4894,305.9,2014
Jacksonville Jaguars,16,557,325,58.3,3451,6.2,15,18,71,450,72,3001,187.6,2014
Kansas City Chiefs,16,493,320,64.9,3428,6.95,18,6,49,246,92.2,3182,198.9,2014
Miami Dolphins,16,595,394,66.2,4066,6.83,27,12,46,337,92.5,3729,233.1,2014
Minnesota Vikings,16,517,322,62.3,3566,6.9,17,18,51,322,79.2,3244,202.8,2014
New England Patriots,16,609,392,64.4,4291,7.05,34,9,26,170,97.5,4121,257.6,2014
New Orleans Saints,16,659,456,69.2,4952,7.51,33,17,30,188,97,4764,297.8,2014
New York Giants,16,607,383,63.1,4470,7.36,30,14,30,198,92.2,4272,267,2014
New York Jets,16,498,287,57.6,3206,6.44,16,15,47,260,75.1,2946,184.1,2014
Oakland Raiders,16,629,365,58,3456,5.49,22,16,28,181,74.4,3275,204.7,2014
Philadelphia Eagles,16,621,384,61.8,4581,7.38,27,21,32,225,84.8,4356,272.2,2014
Pittsburgh Steelers,16,612,411,67.2,4997,8.16,33,10,33,172,103.2,4825,301.6,2014
San Diego Chargers,16,574,380,66.2,4296,7.48,31,18,37,198,93.4,4098,256.1,2014
San Francisco 49ers,16,487,292,60,3407,7,20,10,52,344,86.3,3063,191.4,2014
Seattle Seahawks,16,454,287,63.2,3492,7.69,20,7,42,242,95.1,3250,203.1,2014
St. Louis Rams,16,515,327,63.5,3695,7.17,20,16,47,295,84.9,3400,212.5,2014
Tampa Bay Buccaneers,16,531,301,56.7,3623,6.82,21,20,52,326,75.2,3297,206.1,2014
Tennessee Titans,16,513,299,58.3,3738,7.29,20,16,50,326,81,3412,213.2,2014
Washington Redskins,16,547,364,66.5,4461,8.16,18,18,58,414,88.8,4047,252.9,2014
Arizona Cardinals,16,562,353,62.8,4775,8.5,35,13,27,159,100.9,4616,288.5,2015
Atlanta Falcons,16,621,410,66,4602,7.41,21,17,32,223,87.8,4379,273.7,2015
Baltimore Ravens,16,676,426,63,4449,6.58,21,21,24,178,79.4,4271,266.9,2015
Buffalo Bills,16,465,295,63.4,3600,7.74,23,9,42,257,95.6,3343,208.9,2015
Carolina Panthers,16,501,300,59.9,3873,7.73,35,10,33,284,99.2,3589,224.3,2015
Chicago Bears,16,523,334,63.9,3843,7.35,21,12,34,183,89.7,3660,228.8,2015
Cincinnati Bengals,16,505,334,66.1,4104,8.13,31,9,32,181,104.1,3923,245.2,2015
Cleveland Browns,16,609,371,60.9,4156,6.82,20,12,53,374,84,3782,236.4,2015
Dallas Cowboys,16,528,334,63.3,3677,6.96,16,22,33,206,76.6,3471,216.9,2015
Denver Broncos,16,606,368,60.7,4216,6.96,19,23,39,246,76.3,3970,248.1,2015
Detroit Lions,16,632,420,66.5,4463,7.06,33,14,44,251,95.1,4212,263.2,2015
Green Bay Packers,16,573,348,60.7,3825,6.68,31,8,47,322,92.7,3503,218.9,2015
Houston Texans,16,619,358,57.8,4079,6.59,29,12,36,246,85.3,3833,239.6,2015
Indianapolis Colts,16,619,355,57.4,3928,6.35,26,19,37,224,77.5,3704,231.5,2015
Jacksonville Jaguars,16,607,355,58.5,4428,7.29,35,18,51,320,88.1,4108,256.8,2015
Kansas City Chiefs,16,473,310,65.5,3493,7.38,20,7,46,238,95.4,3255,203.4,2015
Miami Dolphins,16,588,365,62.1,4231,7.2,24,12,45,420,88.9,3811,238.2,2015
Minnesota Vikings,16,454,294,64.8,3246,7.15,14,9,45,318,87.9,2928,183,2015
