Team,Gms,Num,Yds,Avg,FC,Lg,TD,Yds/G,Year
Arizona Cardinals,16,26,277,10.65,24,71t,1,17.3,2014
Atlanta Falcons,16,18,239,13.28,11,68,1,14.9,2014
Baltimore Ravens,16,32,292,9.12,23,45,0,18.2,2014
Buffalo Bills,16,37,354,9.57,18,75t,1,22.1,2014
Carolina Panthers,16,30,239,7.97,26,79t,1,14.9,2014
Chicago Bears,16,21,109,5.19,13,22,0,6.8,2014
Cincinnati Bengals,16,40,439,10.97,15,49,0,27.4,2014
Cleveland Browns,16,27,181,6.7,25,37,0,11.3,2014
Dallas Cowboys,16,30,275,9.17,13,38,0,17.2,2014
Denver Broncos,16,41,296,7.22,28,22,0,18.5,2014
Detroit Lions,16,32,284,8.88,37,28,0,17.8,2014
Green Bay Packers,16,29,333,11.48,12,75t,2,20.8,2014
Houston Texans,16,34,208,6.12,28,21,0,13,2014
Indianapolis Colts,16,45,312,6.93,25,22,0,19.5,2014
Jacksonville Jaguars,16,37,264,7.14,15,23,0,16.5,2014
Kansas City Chiefs,16,50,605,12.1,4,81t,1,37.8,2014
Miami Dolphins,16,25,204,8.16,19,32,0,12.8,2014
Minnesota Vikings,16,27,297,11,26,35,0,18.6,2014
New England Patriots,16,41,431,10.51,11,84t,1,26.9,2014
New Orleans Saints,16,19,134,7.05,26,32,0,8.4,2014
New York Giants,16,29,224,7.72,27,25,0,14,2014
New York Jets,16,43,273,6.35,20,41,0,17.1,2014
Oakland Raiders,16,37,261,7.05,17,27,0,16.3,2014
Philadelphia Eagles,16,41,531,12.95,21,82t,2,33.2,2014
Pittsburgh Steelers,16,32,321,10.03,16,71t,1,20.1,2014
San Diego Chargers,16,23,203,8.83,18,58,0,12.7,2014
San Francisco 49ers,16,35,227,6.49,13,23,0,14.2,2014
Seattle Seahawks,16,36,252,7,28,38,0,15.8,2014
St. Louis Rams,16,37,482,13.03,24,90t,2,30.1,2014
Tampa Bay Buccaneers,16,23,249,10.83,17,53,0,15.6,2014
Tennessee Titans,16,30,207,6.9,18,48,0,12.9,2014
Washington Redskins,16,29,208,7.17,27,37,0,13,2014
Arizona Cardinals,16,39,289,7.41,22,38,0,18.1,2015
Atlanta Falcons,16,27,255,9.44,20,41,0,15.9,2015
Baltimore Ravens,16,40,450,11.25,15,82t,1,28.1,2015
Buffalo Bills,16,31,232,7.48,22,27,0,14.5,2015
Carolina Panthers,16,30,282,9.4,25,37,0,17.6,2015
Chicago Bears,16,31,242,7.81,22,34,0,15.1,2015
