Team,Gms,Att,Yds,Avg,TD,FD,Yds/G,Year
Arizona Cardinals,16,397,1308,3.29,6,67,81.8,2014
Atlanta Falcons,16,372,1498,4.03,11,75,93.6,2014
Baltimore Ravens,16,448,2019,4.51,16,113,126.2,2014
Buffalo Bills,16,402,1482,3.69,7,65,92.6,2014
Carolina Panthers,16,473,2036,4.3,10,117,127.2,2014
Chicago Bears,16,355,1441,4.06,8,91,90.1,2014
Cincinnati Bengals,16,492,2147,4.36,19,122,134.2,2014
Cleveland Browns,16,477,1728,3.62,17,88,108,2014
Dallas Cowboys,16,508,2354,4.63,16,106,147.1,2014
Denver Broncos,16,443,1785,4.03,15,98,111.6,2014
Detroit Lions,16,396,1422,3.59,11,72,88.9,2014
Green Bay Packers,16,435,1917,4.41,14,104,119.8,2014
Houston Texans,16,551,2161,3.92,12,108,135.1,2014
Indianapolis Colts,16,415,1612,3.88,9,80,100.8,2014
Jacksonville Jaguars,16,360,1633,4.54,9,86,102.1,2014
Kansas City Chiefs,16,420,1918,4.57,18,92,119.9,2014
Miami Dolphins,16,399,1872,4.69,12,99,117,2014
Minnesota Vikings,16,413,1804,4.37,12,90,112.8,2014
New England Patriots,16,438,1727,3.94,13,96,107.9,2014
New Orleans Saints,16,406,1818,4.48,16,101,113.6,2014
New York Giants,16,449,1603,3.57,13,83,100.2,2014
New York Jets,16,507,2280,4.5,11,112,142.5,2014
Oakland Raiders,16,337,1240,3.68,4,56,77.5,2014
Philadelphia Eagles,16,474,1992,4.2,16,109,124.5,2014
Pittsburgh Steelers,16,423,1752,4.14,10,98,109.5,2014
San Diego Chargers,16,398,1367,3.43,6,75,85.4,2014
San Francisco 49ers,16,470,2176,4.63,10,104,136,2014
Seattle Seahawks,16,525,2762,5.26,20,144,172.6,2014
St. Louis Rams,16,395,1635,4.14,11,79,102.2,2014
Tampa Bay Buccaneers,16,353,1375,3.9,7,72,85.9,2014
Tennessee Titans,16,356,1447,4.06,6,75,90.4,2014
Washington Redskins,16,401,1691,4.22,15,88,105.7,2014
Arizona Cardinals,16,452,1917,4.24,16,92,119.8,2015
Atlanta Falcons,16,420,1606,3.82,13,95,100.4,2015
Baltimore Ravens,16,383,1478,3.86,8,89,92.4,2015
Buffalo Bills,16,509,2432,4.78,19,122,152,2015
Carolina Panthers,16,526,2282,4.34,19,136,142.6,2015
Chicago Bears,16,468,1854,3.96,13,108,115.9,2015
Cincinnati Bengals,16,467,1805,3.87,18,99,112.8,2015
Cleveland Browns,16,380,1529,4.02,5,81,95.6,2015
Dallas Cowboys,16,408,1890,4.63,8,94,118.1,2015
Denver Broncos,16,411,1718,4.18,13,85,107.4,2015
Detroit Lions,16,354,1335,3.77,7,71,83.4,2015
Green Bay Packers,16,436,1850,4.24,8,100,115.6,2015
Houston Texans,16,472,1731,3.67,7,90,108.2,2015
Indianapolis Colts,16,396,1438,3.63,6,77,89.9,2015
Jacksonville Jaguars,16,354,1473,4.16,5,69,92.1,2015
Kansas City Chiefs,16,436,2044,4.69,19,116,127.8,2015
Miami Dolphins,16,344,1496,4.35,11,72,93.5,2015
Minnesota Vikings,16,474,2211,4.66,18,113,138.2,2015
New England Patriots,16,383,1404,3.67,14,87,87.8,2015
New Orleans Saints,16,397,1491,3.76,16,98,93.2,2015
New York Giants,16,403,1609,3.99,5,77,100.6,2015
New York Jets,16,448,1868,4.17,11,99,116.8,2015
Oakland Raiders,16,370,1457,3.94,7,74,91.1,2015
Philadelphia Eagles,16,442,1743,3.94,15,110,108.9,2015
Pittsburgh Steelers,16,388,1724,4.44,16,91,107.8,2015
San Diego Chargers,16,393,1358,3.46,4,79,84.9,2015
San Francisco 49ers,16,390,1544,3.96,7,83,96.5,2015
Seattle Seahawks,16,500,2268,4.54,10,128,141.8,2015
St. Louis Rams,16,429,1956,4.56,16,92,122.2,2015
Tampa Bay Buccaneers,16,455,2162,4.75,12,99,135.1,2015
Tennessee Titans,16,371,1485,4,10,66,92.8,2015
Washington Redskins,16,429,1566,3.65,9,81,97.9,2015
Arizona Cardinals,16,399,1732,4.34,20,97,108.2,2016
Atlanta Falcons,16,421,1928,4.58,20,108,120.5,2016
Baltimore Ravens,16,367,1463,3.99,10,79,91.4,2016
Buffalo Bills,16,492,2630,5.35,29,146,164.4,2016
Carolina Panthers,16,453,1814,4,16,99,113.4,2016
Chicago Bears,16,380,1735,4.57,10,93,108.4,2016
Cincinnati Bengals,16,446,1769,3.97,17,100,110.6,2016
Cleveland Browns,16,350,1712,4.89,13,83,107,2016
Dallas Cowboys,16,499,2396,4.8,24,142,149.8,2016
Denver Broncos,16,410,1484,3.62,11,76,92.8,2016
Detroit Lions,16,350,1310,3.74,9,76,81.9,2016
Green Bay Packers,16,374,1701,4.55,11,91,106.3,2016
Houston Texans,16,456,1859,4.08,8,102,116.2,2016
Indianapolis Colts,16,409,1628,3.98,13,93,101.8,2016
Jacksonville Jaguars,16,392,1631,4.16,8,75,101.9,2016
Kansas City Chiefs,16,412,1748,4.24,15,86,109.2,2016
Los Angeles Rams,16,375,1252,3.34,9,68,78.2,2016
Miami Dolphins,16,405,1824,4.5,14,90,114,2016
Minnesota Vikings,16,380,1205,3.17,9,66,75.3,2016
New England Patriots,16,482,1872,3.88,19,109,117,2016
New Orleans Saints,16,404,1742,4.31,17,105,108.9,2016
New York Giants,16,398,1412,3.55,6,73,88.2,2016
New York Jets,16,418,1802,4.31,10,97,112.6,2016
Oakland Raiders,16,434,1922,4.43,17,98,120.1,2016
Philadelphia Eagles,16,438,1813,4.14,16,114,113.3,2016
Pittsburgh Steelers,16,409,1760,4.3,13,97,110,2016
San Diego Chargers,16,398,1510,3.79,10,90,94.4,2016
San Francisco 49ers,16,458,2019,4.41,15,116,126.2,2016
Seattle Seahawks,16,403,1591,3.95,13,85,99.4,2016
Tampa Bay Buccaneers,16,453,1616,3.57,8,80,101,2016
Tennessee Titans,16,476,2187,4.59,16,115,136.7,2016
Washington Redskins,16,379,1696,4.47,17,89,106,2016
Arizona Cardinals,16,409,1386,3.39,6,66,86.6,2017
Atlanta Falcons,16,430,1847,4.3,12,101,115.4,2017
Baltimore Ravens,16,460,1856,4.03,14,111,116,2017
Buffalo Bills,16,487,2017,4.14,12,105,126.1,2017
Carolina Panthers,16,490,2102,4.29,15,121,131.4,2017
Chicago Bears,16,422,1788,4.24,13,93,111.8,2017
Cincinnati Bengals,16,377,1366,3.62,6,72,85.4,2017
Cleveland Browns,16,384,1714,4.46,11,97,107.1,2017
Dallas Cowboys,16,480,2170,4.52,18,127,135.6,2017
Denver Broncos,16,457,1852,4.05,8,92,115.8,2017
Detroit Lions,16,363,1221,3.36,10,58,76.3,2017
Green Bay Packers,16,386,1724,4.47,13,99,107.8,2017
Houston Texans,16,448,1842,4.11,8,86,115.1,2017
Indianapolis Colts,16,451,1661,3.68,11,94,103.8,2017
Jacksonville Jaguars,16,527,2262,4.29,18,101,141.4,2017
Kansas City Chiefs,16,405,1903,4.7,12,95,118.9,2017
Los Angeles Chargers,16,419,1595,3.81,10,84,99.7,2017
Los Angeles Rams,16,454,1953,4.3,17,97,122.1,2017
Miami Dolphins,16,360,1388,3.86,4,66,86.8,2017
Minnesota Vikings,16,501,1957,3.91,15,100,122.3,2017
New England Patriots,16,448,1889,4.22,16,107,118.1,2017
New Orleans Saints,16,444,2070,4.66,23,111,129.4,2017
New York Giants,16,394,1549,3.93,6,66,96.8,2017
New York Jets,16,427,1702,3.99,13,77,106.4,2017
Oakland Raiders,16,370,1554,4.2,13,78,97.1,2017
Philadelphia Eagles,16,473,2115,4.47,9,108,132.2,2017
Pittsburgh Steelers,16,437,1667,3.81,12,96,104.2,2017
San Francisco 49ers,16,408,1662,4.07,15,88,103.9,2017
Seattle Seahawks,16,409,1629,3.98,4,85,101.8,2017
Tampa Bay Buccaneers,16,389,1450,3.73,8,76,90.6,2017
Tennessee Titans,16,443,1833,4.14,18,97,114.6,2017
Washington Redskins,16,401,1448,3.61,10,66,90.5,2017
Arizona Cardinals,16,355,1342,3.78,9,76,83.9,2018
Atlanta Falcons,16,351,1573,4.48,11,84,98.3,2018
Baltimore Ravens,16,547,2441,4.46,19,153,152.6,2018
Buffalo Bills,16,468,1984,4.24,15,108,124,2018
Carolina Panthers,16,416,2136,5.13,17,117,133.5,2018
Chicago Bears,16,468,1938,4.14,16,108,121.1,2018
Cincinnati Bengals,16,359,1682,4.69,13,92,105.1,2018
Cleveland Browns,16,411,1893,4.61,15,93,118.3,2018
Dallas Cowboys,16,439,1963,4.47,13,113,122.7,2018
Denver Broncos,16,393,1907,4.85,18,107,119.2,2018
Detroit Lions,16,404,1660,4.11,11,91,103.8,2018
Green Bay Packers,16,333,1667,5.01,14,98,104.2,2018
Houston Texans,16,472,2021,4.28,12,94,126.3,2018
Indianapolis Colts,16,408,1718,4.21,13,96,107.4,2018
Jacksonville Jaguars,16,416,1723,4.14,7,92,107.7,2018
Kansas City Chiefs,16,387,1855,4.79,16,108,115.9,2018
Los Angeles Chargers,16,399,1873,4.69,16,100,117.1,2018
Los Angeles Rams,16,459,2231,4.86,23,134,139.4,2018
Miami Dolphins,16,371,1738,4.68,7,75,108.6,2018
Minnesota Vikings,16,357,1493,4.18,9,66,93.3,2018
New England Patriots,16,478,2037,4.26,18,131,127.3,2018
New Orleans Saints,16,471,2025,4.3,26,134,126.6,2018
New York Giants,16,354,1650,4.66,13,71,103.1,2018
New York Jets,16,410,1622,3.96,11,84,101.4,2018
Oakland Raiders,16,387,1628,4.21,9,86,101.8,2018
Philadelphia Eagles,16,398,1570,3.94,12,94,98.1,2018
Pittsburgh Steelers,16,345,1445,4.19,16,88,90.3,2018
San Francisco 49ers,16,423,1902,4.5,7,98,118.9,2018
Seattle Seahawks,16,534,2560,4.79,15,133,160,2018
Tampa Bay Buccaneers,16,389,1523,3.92,11,80,95.2,2018
Tennessee Titans,16,454,2023,4.46,15,106,126.4,2018
Washington Redskins,16,414,1774,4.29,12,96,110.9,2018
