Team	Total Touchdowns	Rushing Touchdowns	Passing Touchdowns	KR	PR	IR	FR	BK	BP	FGR	PAT	FG	Conv	Saf	Pts	Rendimiento
Arizona Cardinals	38	18	20	0	0	0	0	0	0	0	34/35	31/35	3	0	361	1
Atlanta Falcons	42	10	29	0	1	1	1	0	0	0	29/31	32/40	2	0	381	2
Baltimore Ravens	64	21	37	0	0	2	4	0	0	0	57/59	28/29	2	1	531	2
Buffalo Bills	35	13	21	1	0	0	0	0	0	0	30/32	22/28	3	1	314	0
Carolina Panthers	38	20	17	0	0	0	1	0	0	0	31/35	25/32	1	2	340	1
Chicago Bears	30	8	20	1	0	1	0	0	0	0	27/29	23/28	1	1	280	0
Cincinnati Bengals	28	9	18	1	0	0	0	0	0	0	24/25	27/31	2	1	279	0
Cleveland Browns	38	15	22	0	0	1	0	0	0	0	30/35	25/29	1	0	335	1
Dallas Cowboys	49	18	30	0	0	0	1	0	0	0	46/46	30/40	2	0	434	2
Denver Broncos	28	11	16	0	0	0	1	0	0	0	25/26	29/34	1	0	282	0
Detroit Lions	38	7	28	1	1	0	1	0	0	0	35/36	26/31	0	0	341	0
Green Bay Packers	44	18	26	0	0	0	0	0	0	0	40/41	22/24	3	0	376	1
Houston Texans	46	17	27	0	0	2	0	0	0	0	40/45	20/25	1	0	378	1
Indianapolis Colts	42	17	22	0	2	1	0	0	0	0	33/39	22/31	2	2	361	1
Jacksonville Jaguars	29	3	24	0	0	1	1	0	0	0	19/20	33/34	4	0	300	0
Kansas City Chiefs	50	16	30	1	0	1	2	0	0	0	45/48	34/38	1	0	451	2
Los Angeles Chargers	37	12	24	0	1	0	0	0	0	0	35/35	26/34	1	0	337	0
Los Angeles Rams	46	20	22	0	0	2	2	0	0	0	42/42	24/33	1	1	394	1
Miami Dolphins	34	10	22	1	0	1	0	0	0	0	29/30	23/30	1	1	306	0
Minnesota Vikings	47	19	26	0	0	1	1	0	0	0	40/44	27/29	1	1	407	1
New England Patriots	49	17	25	0	0	3	2	0	2	0	39/45	27/34	2	1	420	1
New Orleans Saints	52	12	36	0	1	2	1	0	0	0	48/49	32/36	0	1	458	2
New York Giants	44	11	30	0	0	1	1	0	1	0	35/39	17-Dec	2	1	341	2
New York Jets	31	6	19	0	0	3	2	0	1	0	23/27	19/28	3	2	276	0
Oakland Raiders	37	13	22	0	0	2	0	0	0	0	34/36	19/26	0	0	313	0
Philadelphia Eagles	46	16	27	0	0	1	2	0	0	0	35/37	22/26	4	0	385	1
Pittsburgh Steelers	29	7	18	0	1	1	2	0	0	0	28/28	29/31	0	0	289	0
San Francisco 49ers	56	23	28	0	0	3	2	0	0	0	49/50	30/39	2	0	479	1
Seattle Seahawks	49	15	31	0	0	2	1	0	0	0	40/44	23/28	1	0	405	2
Tampa Bay Buccaneers	54	15	33	0	0	2	4	0	0	0	43/48	27/35	5	0	458	2
Tennessee Titans	54	21	29	0	0	1	2	1	0	0	50/52	18-Aug	1	1	402	1
Washington Redskins	28	9	18	1	0	0	0	0	0	0	21/22	25/30	1	0	266	0
